data_time,hyyhs_cnt,hyjzyhs_cnt,tgyhzs_cnt,data_update_time
20190601,72225.0,68239.0,3928154.0,2020-1-19 4:13
20190602,88232.0,81265.0,3984430.0,2020-1-19 5:07
20190603,125000.0,119331.0,4071407.0,2020-1-19 5:13
20190604,133311.0,126806.0,4153149.0,2020-1-19 5:16
20190605,136253.0,129799.0,4242058.0,2020-1-19 5:20
20190606,122484.0,116452.0,4330696.0,2020-1-19 5:25
20190607,76198.0,72037.0,4378829.0,2020-1-19 5:28
20190608,71900.0,67792.0,4421157.0,2020-1-19 5:32
20190609,75783.0,71877.0,4461167.0,2020-1-19 5:35
20190610,86577.0,81211.0,4492213.0,2020-1-19 5:39
20190611,94558.0,89115.0,4535256.0,2020-1-19 5:43
20190612,87799.0,82658.0,4576843.0,2020-1-19 5:46
20190613,96720.0,92082.0,4631814.0,2020-1-19 5:50
20190614,89880.0,85284.0,4695958.0,2020-1-19 5:53
20190615,53883.0,50216.0,4720702.0,2020-1-19 5:56
20190616,40500.0,37161.0,4732702.0,2020-1-19 6:00
20190617,73534.0,69391.0,4766501.0,2020-1-19 6:05
20190618,66665.0,62746.0,4796319.0,2020-1-19 6:11
20190619,65489.0,61462.0,4823736.0,2020-1-19 6:15
20190620,65809.0,61880.0,4852314.0,2020-1-19 6:19
20190621,68359.0,64358.0,4884995.0,2020-1-19 6:23
20190622,45806.0,42766.0,4904343.0,2020-1-19 6:26
20190623,38921.0,36026.0,4918098.0,2020-1-19 6:30
20190624,62583.0,58643.0,4946321.0,2020-1-19 6:34
20190625,69887.0,65916.0,4981492.0,2020-1-19 6:38
20190626,64595.0,60773.0,5014331.0,2020-1-19 6:41
20190627,68570.0,64573.0,5048923.0,2020-1-19 6:45
20190628,63045.0,58913.0,5076615.0,2020-1-19 6:49
20190629,50945.0,47566.0,5091825.0,2020-1-19 6:52
20190630,57154.0,53806.0,5112571.0,2020-1-19 6:56
20190701,70313.0,65725.0,5137384.0,2020-1-19 6:59
